Text,Frequency,Case,TF-IDF
RESEARCH,1446,54,607.2
BUSINESS,1831,75,507.6
RESEARCHER,516,21,428.3
EMPLOYEES,1448,75,401.4
SCIENTIST,356,18,319.3
LAWS,813,58,316.1
EMPLOYEE,706,60,264.1
SCIENTIFIC,542,48,255.3
CHEMIST,283,20,240.9
COMPLIANCE,1014,87,215.7
ENGINEER,202,14,203.2
INFORMATION,1972,114,188.1
SCIENCE,318,38,182.1
POLICY,469,59,178.9
DAYLIGHT,83,1,178.6
LEGAL,629,74,178.0
DATA,577,72,170.2
MANAGER,276,35,167.9
CUSTOMERS,407,55,167.7
DIRECTORS,315,44,160.3
BOARD,353,50,160.0
DEPARTMENT,324,46,158.6
PRODUCTS,423,60,158.3
GIFTS,327,47,157.0
RECORDS,289,41,155.9
ENGINEERING,219,28,154.4
CLIENT,262,38,150.0
REGULATIONS,359,55,147.9
LOCAL,365,56,147.5
CHEMICAL,319,50,144.6
ASSETS,293,46,143.4
APPLICABLE,430,66,143.1
POLICIES,388,61,142.4
PERSONAL,737,91,142.4
ENTERTAINMENT,242,37,141.3
CORPORATION,140,14,140.9
GROUP,328,53,140.4
MANAGEMENT,505,75,140.0
OIL,111,8,138.7
GOVERNMENT,368,60,137.7
COMMITTEE,339,56,137.0
INTERNAL,296,49,136.8
SUPPLIERS,312,52,136.1
SECTION,214,33,135.6
INSTITUTION,228,37,133.2
CUSTOMER,231,38,132.2
TRADE,275,47,132.1
CORPORATE,307,53,131.4
PUBLICATION,222,37,129.7
ACTION,488,78,127.0
PROCEDURES,269,48,126.7
INCLUDING,492,79,125.3
RESOURCES,374,66,124.4
EMPLOYER,267,49,123.4
ANIMAL,144,20,122.6
PRINCIPLES,280,52,122.2
SERVICES,265,50,120.1
POLITICAL,254,48,119.6
EMPLOYMENT,338,63,119.3
MEMBER,698,96,118.7
PARTICIPANTS,122,16,115.7
RIGHTS,376,71,113.2
CONCERNS,236,48,111.2
ETHICS,689,98,111.0
LINE,174,33,110.3
REQUIREMENTS,357,70,109.7
PARTNERS,251,52,109.5
SUBJECT,321,65,108.9
COUNTRIES,184,37,107.5
CODE,1384,119,106.2
PRESIDENT,115,17,106.0
CHEMISTRY,150,28,105.8
PROJECT,163,32,105.5
PAYMENTS,184,38,105.3
REPORT,449,83,104.7
SHAREHOLDERS,190,40,104.5
FINANCIAL,361,73,104.3
ORGANISATIONS,135,24,104.2
ENSURE,646,98,104.0
COMPANIES,257,56,103.9
SOCIETY,267,58,103.8
RISKS,237,52,103.4
COMPETITION,218,48,102.7
PERSON,329,70,101.1
PRACTICES,191,42,101.0
SECURITY,222,50,100.6
PROCEDURE,209,47,100.4
REPORTING,253,57,100.3
VALUES,238,54,99.9
RULES,228,52,99.5
CLINICAL,83,9,99.4
COUNSEL,110,18,98.7
FOLLOW,225,52,98.2
DECISIONS,185,42,97.9
AUTHORSHIP,109,18,97.8
PROPERTY,345,74,97.7
ACADEMY,78,8,97.4
HUMAN,427,84,97.4
OFFICIALS,144,30,97.2
LAW,566,96,96.2
PARTY,237,56,95.8
GUIDANCE,206,49,95.2
PARTIES,382,80,95.2
SUPERVISOR,143,31,94.5
TRIAL,51,2,94.4
REQUIRED,325,73,93.9
RELEVANT,353,77,93.8
PROFESSION,219,53,93.7
COMMUNICATIONS,177,42,93.6
COUNTRY,244,59,93.1
TRANSACTIONS,183,44,93.1
ACTIVITY,756,107,92.9
SYSTEM,189,46,92.5
CONFIDENTIAL,307,71,92.4
CONFLICT,439,88,91.2
LABORATORY,107,20,91.1
WORKPLACE,165,40,90.8
MAKE,481,92,90.7
COMMUNITIES,168,41,90.6
CONTACT,177,44,90.1
SUPPLIER,144,34,89.4
RESULTS,273,67,89.1
SOCIAL,247,62,88.9
ETHICAL,460,91,88.9
PRODUCT,161,40,88.6
RELATED,261,65,88.6
INTERNATIONAL,241,61,88.4
COMPETITORS,163,41,87.9
PROHIBITED,179,46,87.6
MATERIAL,274,68,87.6
DISCIPLINARY,175,45,87.3
GLOBAL,149,37,87.0
GUIDELINES,207,54,86.9
RESPECT,510,96,86.7
INCLUDE,222,58,86.3
VIOLATIONS,165,43,85.6
OPERATIONS,195,52,85.1
MEMBERS,160,42,84.6
SECURITIES,136,34,84.4
DOCUMENTS,208,56,84.1
MISCONDUCT,141,36,84.0
DUTIES,146,38,83.6
QUESTIONS,161,43,83.5
EXPORT,113,26,83.3
CONTROLS,123,30,83.0
INTEREST,675,107,83.0
INTELLECTUAL,197,54,82.7
HELPLINE,66,8,82.4
CORRUPTION,127,32,82.2
EXECUTIVE,138,36,82.2
TRAINING,224,61,82.2
HARASSMENT,158,43,82.0
COMPETITIVE,140,37,81.8
TIME,287,74,81.2
GENERAL,293,75,81.2
RESPONSIBILITIES,139,37,81.2
CONDUCT,1056,119,81.0
ENVIRONMENTAL,269,71,81.0
MONEY,120,30,81.0
AUDIT,133,35,80.9
PEOPLE,253,68,80.9
PARTICIPANT,52,4,80.6
DISCLOSURE,191,54,80.2
BRIBERY,124,32,80.2
GIFT,134,36,79.9
WORKING,260,70,79.9
JOB,142,39,79.7
COMMITTED,189,54,79.4
POTENTIAL,225,63,79.4
RESPONSIBLE,381,88,79.2
SAFETY,490,98,78.9
REGULATION,191,55,78.7
CONTRACTORS,137,38,78.4
PROTECTION,255,70,78.3
APPROVAL,179,52,78.1
NATIONAL,217,62,78.1
STUDENT,96,22,77.7
VIOLATION,166,49,76.7
DUTY,205,60,76.7
MARKET,118,32,76.4
OFFICER,123,34,76.4
PROFESSIONAL,529,102,76.0
MEDIA,146,43,75.7
CONFLICTS,127,36,75.7
MEANS,206,61,75.6
PRINCIPLE,297,79,75.6
RELATIONS,166,50,75.3
RESPONSIBILITY,538,103,75.0
FAMILY,128,37,74.8
REVIEW,199,60,74.5
INDUSTRY,120,34,74.5
COMMITMENT,146,44,74.3
DIRECTOR,110,30,74.3
SPEAK,96,24,74.1
RULE,157,48,74.0
ENVIRONMENT,530,103,73.9
ENTITIES,107,29,73.8
FINDINGS,91,22,73.7
RELATIONSHIPS,179,55,73.7
SYSTEMS,172,53,73.6
CONSULT,118,34,73.3
ACCESS,188,58,73.1
EXPECTED,161,50,73.0
GOOD,292,80,72.8
ARTICLE,81,18,72.7
PERFORMANCE,245,72,72.3
INSIDE,100,27,72.1
STAKEHOLDERS,126,38,72.1
WORK,937,119,71.9
ACCOUNTING,128,39,71.8
PEER,69,13,71.6
ILLEGAL,161,51,71.6
COUNCIL,90,23,71.2
HEAD,75,16,71.1
CORE,92,24,71.0
ORDER,231,70,71.0
UNDERSTAND,131,41,70.7
SANCTIONS,98,27,70.7
INCLUDES,131,41,70.7
COMMUNICATION,162,52,70.7
DEVELOPMENT,277,79,70.5
LAUNDERING,70,14,70.4
PRIVACY,125,39,70.2
INSIDER,120,37,70.1
OPERATE,143,46,70.0
AWARE,163,53,69.8
CONTROL,186,60,69.6
PART,230,71,69.2
PROVIDE,332,88,69.0
HEALTH,395,95,69.0
ADDITION,152,50,68.9
BODY,111,34,68.9
MEASURES,130,42,68.8
IMPROPER,146,48,68.8
OFFER,157,52,68.5
RECORD,156,52,68.1
INVOLVED,204,66,67.9
CONSISTENT,128,42,67.7
INVESTIGATION,118,38,67.6
CONSENT,135,45,67.4
BEHALF,142,48,66.9
SERVICE,246,76,66.8
FAIR,213,69,66.8
PROCESS,213,69,66.8
OFFICIAL,114,37,66.6
PROTECT,256,78,66.6
SPECIFIC,181,61,66.4
LABOR,94,28,66.3
IMPORTANT,155,53,66.3
INDIVIDUAL,211,69,66.1
CHEMICALS,55,9,65.9
INTERESTS,349,92,65.8
APPLY,218,71,65.6
PROVIDED,193,65,65.5
RELATING,144,50,65.3
INFLUENCE,171,59,65.2
INDIVIDUALS,152,53,65.1
ISSUES,181,62,65.1
ACCURATE,149,52,65.0
GOODS,100,32,64.7
DECISION,228,74,64.5
TRADING,106,35,64.5
AUTHORITIES,142,50,64.4
REPORTS,193,66,64.2
MANAGING,81,23,64.0
SEEK,216,72,63.7
PERSONS,184,64,63.7
STANDARDS,486,105,63.7
COMMUNITY,191,66,63.6
BEHAVIOUR,94,30,63.5
EXTERNAL,122,43,63.3
IMMEDIATELY,119,42,63.0
ACCEPT,232,76,63.0
SUPPORT,232,76,63.0
PRACTICE,343,93,63.0
REQUEST,123,44,62.6
REGULATORY,118,42,62.4
OFFICERS,77,22,62.4
PAYMENT,113,40,62.2
CHEMICALENGINEER,56,11,62.2
WRITTEN,148,54,62.1
ADVICE,122,44,62.1
MAIL,90,29,62.1
UNIT,71,19,62.0
SHARES,82,25,61.9
EXPERT,67,17,61.8
APPLICATION,119,43,61.7
ORGANIZATION,112,40,61.6
RELATIONSHIP,128,47,61.5
STRIVE,149,55,61.4
ANTITRUST,74,21,61.4
RETALIATION,85,27,61.3
PUBLIC,669,115,61.3
PRIOR,135,50,61.2
FORM,225,76,61.1
CREATE,157,58,61.1
MANNER,220,75,61.0
SITUATION,129,48,60.8
MISUSE,98,34,60.8
BASED,228,77,60.6
ACCORDANCE,243,80,60.6
RESULT,158,59,60.3
PRESIDENCY,28,1,60.3
ECSA,28,1,60.3
PURPOSES,158,59,60.3
ORGANISATION,78,24,60.2
PRICE,103,37,60.2
INTEGRITY,431,103,60.1
COMPUTER,76,23,60.1
TRAVEL,67,18,60.1
TRAINEES,48,8,60.0
OBTAIN,148,56,59.8
PROPER,169,63,59.6
LEGITIMATE,102,37,59.6
FACILITIES,102,37,59.6
STAFF,90,31,59.5
COMPETITOR,73,22,59.1
BENEFIT,155,59,59.1
ADDITIONAL,103,38,59.0
MAKING,196,71,59.0
SUSTAINABLE,107,40,58.9
COMMISSION,89,31,58.8
POSITION,179,67,58.4
MEETING,102,38,58.4
AREAS,146,57,57.9
MATTER,123,48,57.9
PERMISSION,95,35,57.8
PROPRIETARY,89,32,57.6
TERMS,120,47,57.6
HOSPITALITY,46,8,57.5
PRIVATE,139,55,57.3
CIRCUMSTANCES,147,58,57.2
RESOLUTION,62,17,57.2
ACT,311,93,57.2
CONFIDENTIALITY,172,66,57.2
FAITH,110,43,57.1
DEALINGS,86,31,56.8
AGREEMENT,103,40,56.7
DISCIPLINE,73,24,56.4
CARE,180,69,56.4
QUALITY,166,65,56.3
AGREEMENTS,115,46,56.3
FREEDOM,85,31,56.2
LIMITED,100,39,56.1
DISCRIMINATION,126,51,56.0
ALCOHOL,69,22,55.9
FREE,143,58,55.6
EQUIPMENT,125,51,55.6
PROVISIONS,130,53,55.6
CONTRIBUTIONS,97,38,55.5
CONTRACT,107,43,55.5
HOTLINE,48,10,55.3
AUTHORIZED,91,35,55.3
FUNDS,80,29,55.2
ACCOUNT,124,51,55.1
REASONABLE,136,56,55.0
SALES,78,28,55.0
SEXUAL,94,37,54.9
CRIMINAL,94,37,54.9
EXCELLENCE,61,18,54.7
EVALUATION,81,30,54.7
DEALING,116,48,54.6
PRODUCTION,99,40,54.5
MEDICAL,64,20,54.5
COLLEAGUES,127,53,54.4
MATTERS,132,55,54.4
ROLE,120,50,54.4
COMPETENCE,109,45,54.4
APPROVED,124,52,54.1
TRUST,134,56,54.1
CHIEF,65,21,54.0
SUBSTANCES,80,30,54.0
MAINTAIN,226,82,53.9
DISCLOSE,149,62,53.6
TECHNOLOGY,118,50,53.5
END,81,31,53.5
ENGAGE,140,59,53.4
PREVENT,137,58,53.3
LIFE,111,47,53.3
PROTECTING,93,38,53.2
SHARE,113,48,53.2
SENSITIVE,80,31,52.9
AUTHORITY,119,51,52.9
RECEIVE,110,47,52.8
DIRECTLY,165,68,52.8
BENEFITS,121,52,52.8
INTRANET,49,12,52.6
SUSPECTED,83,33,52.6
CONDITIONS,149,63,52.6
REQUIRE,101,43,52.4
REQUIRES,105,45,52.4
IP,36,5,52.3
COMMERCIAL,97,41,52.3
OBLIGATIONS,151,64,52.3
CONCERN,95,40,52.3
CASH,74,28,52.2
STATE,89,37,52.0
METHODS,108,47,51.9
EFFECTIVE,102,44,51.9
ADVANTAGE,108,47,51.9
FORMS,102,44,51.9
GREEN,28,2,51.8
IMPLEMENTATION,80,32,51.8
SITUATIONS,112,49,51.8
OBTAINED,101,44,51.4
STANDARD,103,45,51.4
DRUGS,81,33,51.3
KNOWLEDGE,294,95,51.3
INFORM,86,36,51.3
PERSONNEL,93,40,51.2
SIGNIFICANT,79,32,51.1
CONTROLLED,66,24,51.0
INVOLVING,82,34,50.9
WORLD,102,45,50.9
CULTURE,102,45,50.9
CONSIDERED,110,49,50.8
TAKING,110,49,50.8
DOCUMENT,87,37,50.8
SAFE,121,54,50.8
BEHAVIOR,87,37,50.8
FACILITATION,58,19,50.7
REFERENCE,75,30,50.6
EVENT,90,39,50.5
NATURE,125,56,50.5
GIVING,90,39,50.5
DILIGENCE,62,22,50.2
AVOID,205,81,50.0
FUNCTION,74,30,50.0
PROMOTE,162,70,49.8
SECRETARY,54,17,49.8
IMPACT,87,38,49.8
IMPORT,60,21,49.8
ACCEPTABLE,75,31,49.6
TEAM,75,31,49.6
PERMITTED,90,40,49.5
INDEX,23,1,49.5
ESTABLISHED,103,47,49.5
LISTED,78,33,49.4
EVIDENCE,61,22,49.4
GOVERNANCE,64,24,49.4
RISK,76,32,49.2
INAPPROPRIATE,91,41,49.1
STATES,59,21,49.0
ISSUE,106,49,49.0
ACTUAL,89,40,49.0
STATEMENT,82,36,48.9
OPPORTUNITIES,96,44,48.8
CARRIED,69,28,48.7
WRITING,85,38,48.7
MANAGERS,72,30,48.6
CONSEQUENCES,105,49,48.5
PROCESSES,105,49,48.5
PARTICIPATION,88,40,48.4
UNETHICAL,88,40,48.4
STRICTLY,88,40,48.4
INDEPENDENT,73,31,48.2
GENETIC,35,6,48.1
MEDICINE,31,4,48.1
TISSUE,26,2,48.1
STUDY,52,17,47.9
DETAILS,74,32,47.9
CONTRACTS,80,36,47.7
SUBJECTS,56,20,47.7
BASIS,152,69,47.6
ABILITY,99,47,47.5
ORGANIZATIONS,88,41,47.5
CHAPTER,38,8,47.5
STOCK,63,25,47.5
GUIDE,63,25,47.5
LEGISLATION,78,35,47.4
REGIONAL,50,16,47.4
AFFAIRS,81,37,47.3
OPINION,86,40,47.3
AGENTS,70,30,47.3
FAILURE,57,21,47.3
MATERIALS,76,34,47.2
PHYSICAL,89,42,47.1
CLAUSE,36,7,47.1
WELFARE,104,50,47.1
PERFORM,118,57,46.8
ROYAL,45,13,46.7
ECONOMIC,90,43,46.7
DIRECT,103,50,46.7
HUMANITIES,34,6,46.7
CONDUCTING,88,42,46.6
WWW,59,23,46.6
EXPECTATIONS,69,30,46.6
SELL,63,26,46.5
PLANS,78,36,46.5
AGENT,53,19,46.3
SECTOR,37,8,46.2
VENDORS,50,17,46.1
INSTITUTIONAL,50,17,46.1
PRICES,61,25,46.0
HIGH,138,66,45.9
RESTRICTIONS,71,32,45.9
BREACH,68,30,45.9
UNITED,58,23,45.9
THEFT,68,30,45.9
SENIOR,65,28,45.8
GAIN,90,44,45.8
MEET,101,50,45.8
REPUTATION,172,77,45.7
PROBLEMS,83,40,45.7
CHARTER,41,11,45.5
OFFICE,81,39,45.5
INDIRECTLY,104,52,45.4
PORTAL,33,6,45.3
HANDBOOK,31,5,45.1
TRANSACTION,64,28,45.1
TERM,82,40,45.1
APPLIES,92,46,45.0
PRACTITIONER,29,4,45.0
HONESTY,109,55,44.9
PURPOSE,140,68,44.8
OPERATING,69,32,44.7
STEPS,78,38,44.7
ENTITY,62,27,44.7
FUTURE,91,46,44.5
FRAMEWORK,59,25,44.5
PARTICIPATE,104,53,44.5
REGARD,119,60,44.5
MANAGE,70,33,44.4
PROVIDING,121,61,44.4
JOINT,70,33,44.4
ALLOWED,56,23,44.3
OPPORTUNITY,79,39,44.3
GENERALLY,92,47,44.2
TRANSPARENCY,74,36,44.1
HONEST,109,56,44.0
DAMAGE,80,40,44.0
EDUCATION,83,42,43.9
SUCCESS,65,30,43.9
TECHNICAL,113,58,43.9
AFFECT,88,45,43.9
REGISTRATION,45,15,43.9
TIMELY,86,44,43.8
FOREIGN,58,25,43.8
REPORTED,75,37,43.8
SUPPLY,58,25,43.8
QUESTION,78,39,43.8
PROTECTED,75,37,43.8
ENSURING,78,39,43.8
EQUAL,72,35,43.8
ANSWERS,38,10,43.8
GOVERNMENTS,50,19,43.7
PROMPTLY,81,41,43.7
REGISTERED,50,19,43.7
ELECTRONIC,63,29,43.5
SPECIAL,79,40,43.5
PERIOD,67,32,43.4
TOLERATE,60,27,43.3
BODIES,43,14,43.3
BRIBE,56,24,43.2
FRAUD,77,39,43.2
FEES,44,15,43.0
EHSS,20,1,43.0
PROBLEM,57,25,43.0
COOPERATION,61,28,43.0
INSTANCE,44,15,43.0
EXPECT,65,31,43.0
HIGHEST,117,61,42.9
AGREE,54,23,42.7
CURRENT,66,32,42.7
SUBSTANCE,50,20,42.6
PATIENT,31,6,42.6
SPECI,23,2,42.6
ENCOURAGE,116,61,42.6
DISCUSS,70,35,42.6
PROPERLY,87,46,42.6
ASSESSMENT,55,24,42.5
OFFENSIVE,59,27,42.5
RAISE,63,30,42.5
ASSOCIATION,74,38,42.4
ESTABLISH,77,40,42.4
PROCESSING,51,21,42.3
INTENDED,88,47,42.3
BUY,56,25,42.2
PROHIBIT,56,25,42.2
ADDRESS,72,37,42.1
TIMES,110,59,42.0
SOFTWARE,62,30,41.9
LONG,89,48,41.9
STORAGE,53,23,41.9
STATEMENTS,96,52,41.9
ACTS,84,45,41.9
INFORMED,79,42,41.8
ABUSE,79,42,41.8
EXAMPLES,54,24,41.7
DAYS,49,20,41.7
TERMINATION,54,24,41.7
HARM,90,49,41.6
RECOMMENDATIONS,59,28,41.6
TREAT,67,34,41.6
FAIRLY,101,55,41.6
FULL,113,61,41.5
DEVELOP,88,48,41.5
OBSERVE,74,39,41.5
DIVERSITY,64,32,41.4
GROUPS,64,32,41.4
KIND,83,45,41.4
EXCHANGE,86,47,41.3
SIMILAR,75,40,41.3
SPONSOR,33,8,41.2
COMPLETE,72,38,41.2
CLEAR,98,54,41.1
FULLY,84,46,41.1
ELEMENTS,37,11,41.1
OBJECTIVE,98,54,41.1
DELIVERY,42,15,41.0
RESPONDENT,19,1,40.9
CHARITABLE,48,20,40.9
PREMISES,53,24,40.9
INCOMPATIBILITY,19,1,40.9
EXERCISE,77,42,40.7
BUSINESSES,54,25,40.7
TREATMENT,74,40,40.7
INTERNET,59,29,40.7
SECURE,64,33,40.6
DISCLOSED,78,43,40.5
DEAL,68,36,40.5
CARRY,75,41,40.5
OPERATES,50,22,40.5
DESIGN,60,30,40.5
INVESTIGATIONS,56,27,40.4
INVESTMENT,56,27,40.4
CUSTOMS,61,31,40.3
SUSPICIOUS,35,10,40.3
DAY,51,23,40.3
INTERFERE,51,23,40.3
OPEN,94,53,40.2
ARISE,73,40,40.2
RECEIVED,70,38,40.1
NOTIFY,53,25,40.0
UNDERSTANDING,88,50,39.9
CONTRIBUTE,88,50,39.9
AREA,71,39,39.8
MANDATE,29,6,39.8
FACTS,75,42,39.7
RECEIVING,64,34,39.7
ENCOURAGED,64,34,39.7
CODES,37,12,39.7
OBLIGATION,78,44,39.7
PLACE,110,62,39.6
PRESENT,89,51,39.6
REASON,72,40,39.6
EFFORTS,65,35,39.5
REFER,61,32,39.5
UNDERTAKE,76,43,39.4
CONSIDERATION,62,33,39.3
PARTNER,62,33,39.3
ACCEPTED,70,39,39.3
CONFI,30,7,39.2
HR,40,15,39.0
SAFEGUARD,64,35,38.9
STATUS,81,47,38.9
SCI,21,2,38.9
DESCRIPTIONS,21,2,38.9
IDENTIFY,72,41,38.8
CULTURAL,60,32,38.8
RELIANCE,25,4,38.8
COMPENSATION,55,28,38.8
PUBLISHED,55,28,38.8
ACTING,72,41,38.8
LIQUIDE,18,1,38.7
COLLEAGUE,42,17,38.7
AIRPRODUCTS,18,1,38.7
UAE,18,1,38.7
PLANT,36,12,38.6
CHILD,56,29,38.6
PROGRAMME,36,12,38.6
UNAUTHORIZED,50,24,38.6
COMMITMENTS,57,30,38.5
LOSS,62,34,38.5
RELATION,57,30,38.5
AUTHORISED,37,13,38.4
PROCUREMENT,44,19,38.4
CHALLENGE,37,13,38.4
COMPLAINT,37,13,38.4
CONDUCTED,63,35,38.3
SECRETS,58,31,38.3
ADVERTISING,45,20,38.3
LOBBYING,32,9,38.3
MARKETS,46,21,38.2
APPROPRIATELY,54,28,38.1
APPROACH,54,28,38.1
DISSEMINATION,47,22,38.1
HELD,60,33,38.0
FIELD,55,29,37.9
MAINTAINING,79,47,37.9
NATURAL,55,29,37.9
HOURS,48,23,37.9
PERMIT,55,29,37.9
DECLARATION,49,24,37.8
TOP,34,11,37.8
DOUBT,57,31,37.7
PERCEIVED,57,31,37.7
PURCHASE,43,19,37.6
VICE,35,12,37.6
ENGAGEMENT,35,12,37.6
JUDGMENT,71,42,37.6
ADHERE,67,39,37.6
ESSENTIAL,58,32,37.5
CONFIDENCE,59,33,37.4
MINIMUM,53,28,37.4
INVESTOR,45,21,37.4
ENGAGING,53,28,37.4
REMUNERATION,46,22,37.3
EMAIL,46,22,37.3
FELLOW,46,22,37.3
COLLABORATING,24,4,37.2
LEAD,65,38,37.2
SUSTAINABILITY,47,23,37.2
HOLDING,47,23,37.2
PRIMARY,48,24,37.1
DEMONSTRATE,48,24,37.1
OFFERING,55,30,37.1
APPLICATIONS,48,24,37.1
CONTRIBUTION,62,36,37.0
EXTENT,56,31,37.0
BRIBES,56,31,37.0
MEMBERSHIP,49,25,37.0
QATAR,22,3,36.9
BOOKS,57,32,36.9
SKILLS,93,57,36.9
FI,32,10,36.9
MUTUAL,51,27,36.8
WORKS,51,27,36.8
HANDLING,58,33,36.8
REPRESENTATIVES,63,37,36.8
EXPERIENCE,78,48,36.7
UK,33,11,36.7
FAIRNESS,72,44,36.6
ALTANA,17,1,36.6
SUBSIDIARIES,43,20,36.6
PAY,72,44,36.6
ADOPTED,53,29,36.6
ACCEPTING,64,38,36.6
III,46,23,36.4
PROGRAMS,55,31,36.4
INVENTIONS,46,23,36.4
LEVEL,107,65,36.3
PROPOSAL,29,8,36.2
SPIRIT,56,32,36.2
CRITICAL,56,32,36.2
RESPONSIBLY,62,37,36.2
ACCURATELY,74,46,36.2
ATTEMPT,56,32,36.2
MAJOR,50,27,36.0
CONTRACTUAL,51,28,36.0
APPEARANCE,52,29,35.9
NUMBER,64,39,35.9
FUNDAMENTAL,72,45,35.9
EVENTS,53,30,35.8
DE,31,10,35.7
APPEAL,26,6,35.7
VIOLATE,54,31,35.7
MARKETING,44,22,35.6
MEETINGS,44,22,35.6
SUBMITTED,45,23,35.6
FUNCTIONS,45,23,35.6
OPINIONS,61,37,35.6
DATE,61,37,35.6
FACE,45,23,35.6
KEY,56,33,35.5
AGENCIES,56,33,35.5
REQUESTS,47,25,35.5
MAIN,47,25,35.5
PUBLICLY,57,34,35.4
TECHNOLOGIES,48,26,35.4
SALE,48,26,35.4
IMPROVE,67,42,35.4
SUPERVISION,49,27,35.3
FIDELITY,27,7,35.3
DOCUMENTATION,50,28,35.3
COMMUNICATE,68,43,35.3
COMPETENT,50,28,35.3
CONFL,27,7,35.3
DETERMINE,58,35,35.3
CIVIL,50,28,35.3
READ,49,27,35.3
JURISDICTION,35,14,35.2
EFFECT,64,40,35.2
SITES,37,16,35.1
FINANCE,37,16,35.1
AWARENESS,52,30,35.1
REFLECT,53,31,35.0
THEREOF,39,18,35.0
CAPACITY,53,31,35.0
DESIGNS,38,17,35.0
MEALS,38,17,35.0
ANSWER,38,17,35.0
FEEL,38,17,35.0
NORMS,40,19,34.9
CONSULTANTS,41,20,34.9
GOVERNMENTAL,55,33,34.9
INVESTIGATORS,24,5,34.9
OBJECTIVES,55,33,34.9
BASIC,54,32,34.9
ASSISTANCE,61,38,34.9
VIOLENCE,40,19,34.9
ACADEMIC,41,20,34.9
CRITERIA,54,32,34.9
