Text,Frequency,Case,TF-IDF
OBTAINING,56,34,34.8
EXPENSE,44,23,34.8
RESOURCE,44,23,34.8
ACCOUNTS,46,25,34.7
SITE,45,24,34.7
COURT,29,9,34.7
MONITORING,48,27,34.6
INTERESTED,48,27,34.6
TRANSPARENT,48,27,34.6
REPRESENTATIVE,49,28,34.6
CONNECTION,51,30,34.4
FALSE,65,42,34.4
NOTIFIER,16,1,34.4
CREDIT,51,30,34.4
SCOPE,51,30,34.4
PROCESSOR,16,1,34.4
SEND,32,12,34.3
FEDERAL,32,12,34.3
FINES,32,12,34.3
ATTENTION,74,49,34.2
RECIPIENT,34,14,34.2
CHAIRMAN,35,15,34.2
SERVE,61,39,34.2
DESIGNED,40,20,34.1
DIGNITY,111,70,34.1
ARRANGEMENTS,37,17,34.1
GOALS,56,35,34.1
INDUSTRIAL,37,17,34.1
POINT,40,20,34.1
UNACCEPTABLE,41,21,34.0
DEEMED,42,22,34.0
PENALTIES,43,23,34.0
ANALYSIS,44,24,34.0
EXISTING,57,36,34.0
EXPECTS,41,21,34.0
DEFINED,57,36,34.0
DONATIONS,41,21,34.0
COPY,43,23,34.0
CLOSE,46,26,33.9
YEARS,45,25,33.9
ISSUED,45,25,33.9
CONCERNED,64,42,33.9
SHARING,48,28,33.8
COMPETE,49,29,33.8
ADEQUATE,48,28,33.8
PROVISION,48,28,33.8
COMPLYING,48,28,33.8
VISIT,28,9,33.5
LEGALLY,54,34,33.5
DIVISION,28,9,33.5
OBJECTION,20,3,33.5
MANUAL,28,9,33.5
RUSSIAN,23,5,33.4
DEPENDENT,31,12,33.3
ACHIEVE,63,42,33.3
PROGRAMMES,31,12,33.3
INVOLVE,57,37,33.3
PROFESSIONALS,34,15,33.2
WEBSITE,36,17,33.2
RESPECTING,45,26,33.2
RECOGNISE,34,15,33.2
LANGUAGE,41,22,33.2
LIMITS,43,24,33.2
LABOUR,32,13,33.2
PROPOSED,45,26,33.2
INSTRUCTIONS,39,20,33.2
ENTERPRISE,41,22,33.2
INSTITUTE,38,19,33.2
AUTHORS,35,16,33.2
ACCOUNTABILITY,46,27,33.2
FUNDING,36,17,33.2
TOOLS,36,17,33.2
COMPROMISE,43,24,33.2
PROMOTING,38,19,33.2
REFRAIN,48,29,33.1
UNFAIR,48,29,33.1
TRUSTEES,24,6,33.0
CONSIDERATIONS,51,32,33.0
NONPUBLIC,24,6,33.0
SPECIALIST,24,6,33.0
ADVANCE,70,48,33.0
ACTIVELY,61,41,32.9
COMMON,59,40,32.5
OCCUR,47,29,32.4
IMPROVEMENT,47,29,32.4
SUBMIT,45,27,32.4
ACTIVE,46,28,32.4
ASPECTS,44,26,32.4
TRANSFER,41,23,32.4
EFFECTS,39,21,32.4
ENERGY,42,24,32.4
ABIDE,46,28,32.4
MINIMIZE,43,25,32.4
LETTER,44,26,32.4
INDIRECT,49,31,32.4
MAINTAINED,42,24,32.4
LEVELS,45,27,32.4
AUTHORIZATION,37,19,32.3
CALLED,38,20,32.3
OWNED,38,20,32.3
RELATIVE,37,19,32.3
KEYWORD,15,1,32.3
SUSPECT,36,18,32.3
AEO,15,1,32.3
TESTING,28,10,32.3
CIA,15,1,32.3
NUMBERS,29,11,32.2
ACHIEVEMENTS,31,13,32.2
MINIMISE,33,15,32.2
STRICT,53,35,32.2
RELIABILITY,54,36,32.2
ENTIRE,32,14,32.2
CONSUMERS,30,12,32.2
HOLD,58,40,31.9
NANCIAL,19,3,31.8
GENE,19,3,31.8
ACCURACY,45,28,31.7
LIST,47,30,31.7
PREPARED,47,30,31.7
EXPRESS,51,34,31.7
SHARED,48,31,31.7
IDENTITY,42,25,31.7
POSSESSION,42,25,31.7
OFFERED,50,33,31.7
RESPECTIVE,45,28,31.7
CALL,37,20,31.5
GENOME,17,2,31.5
TRUTHFUL,36,19,31.4
SUBSTANTIAL,36,19,31.4
SUBMISSION,33,16,31.3
WEAPONS,34,17,31.3
REGISTER,33,16,31.3
USERS,33,16,31.3
OUTCOMES,33,16,31.3
OFFI,25,8,31.2
PARTICIPATING,47,31,31.1
HEALTHY,46,30,31.1
NOMINAL,27,10,31.1
ENGAGED,49,33,31.1
SHAREHOLDER,28,11,31.1
EFFECTIVELY,45,29,31.0
SOUND,44,28,31.0
BUILD,43,27,31.0
UPHOLD,50,34,31.0
RETAIN,44,28,31.0
GENDER,52,36,31.0
GROWTH,42,26,31.0
MISLEADING,61,44,31.0
AGE,54,38,30.9
ADVERSE,41,25,30.9
NORMAL,41,25,30.9
PLANNING,38,22,30.8
RESTRICT,38,22,30.8
CONTENT,38,22,30.8
TRADEMARKS,37,21,30.7
LIABILITY,37,21,30.7
CANDIDATES,37,21,30.7
CONTRACTOR,36,20,30.6
ACKNOWLEDGE,35,19,30.6
LIMITATIONS,35,19,30.6
UNSAFE,36,20,30.6
RECEIPT,34,18,30.5
IMPACTS,34,18,30.5
RECOGNIZE,46,31,30.4
FACT,45,30,30.4
HONESTLY,47,32,30.4
PROGRESS,46,31,30.4
CREATING,45,30,30.4
ENDEAVOUR,32,16,30.3
REQUIREMENT,42,27,30.3
OWNERSHIP,42,27,30.3
INVOLVEMENT,42,27,30.3
DISCLOSURES,31,15,30.3
REDUCE,40,25,30.2
OPERATION,41,26,30.2
ENTER,40,25,30.2
EXPENSES,41,26,30.2
BRAND,23,7,30.1
AFFILIATES,29,13,30.1
QI,14,1,30.1
CONVENTION,29,13,30.1
ENTITLED,39,24,30.1
COLLABORATIVE,27,11,30.0
GOVERNING,38,23,30.0
HARMFUL,37,22,30.0
CYCLE,26,10,30.0
COMPUTERS,37,22,30.0
SAMPLES,24,8,30.0
DISTRIBUTOR,24,8,30.0
EXPERIMENTAL,25,9,30.0
IMPORTING,25,9,30.0
AMOUNT,37,22,30.0
LAWFUL,36,21,29.9
RELIGIOUS,36,21,29.9
PUBLISH,36,21,29.9
RESPOND,36,21,29.9
COOPERATE,49,35,29.8
RESOLVE,47,33,29.8
HIRING,35,20,29.8
REFERRED,45,31,29.7
DNA,16,2,29.6
RELIABLE,41,27,29.6
AFFECTED,42,28,29.6
DEVELOPING,41,27,29.6
WAYS,41,27,29.6
POSITIONS,41,27,29.6
LATVIAN,16,2,29.6
SUPPORTS,40,26,29.5
IMPORTANCE,40,26,29.5
CONTEXT,39,25,29.4
FIELDS,31,16,29.4
COMMENTS,39,25,29.4
UNLAWFUL,37,23,29.3
MENTIONED,30,15,29.3
ADVANCEMENT,38,24,29.3
APPLIED,37,23,29.3
VALUABLE,38,24,29.3
PERFORMING,37,23,29.3
DISMISSAL,30,15,29.3
COVER,47,34,29.2
AIM,47,34,29.2
ASSIST,48,35,29.2
ORIGIN,47,34,29.2
IMPLEMENT,36,22,29.2
ADDRESSED,29,14,29.2
WITNESSES,20,5,29.1
INCIDENTS,35,21,29.1
EMPLOYED,35,21,29.1
ORDERS,28,13,29.1
MAKES,35,21,29.1
WORKFORCE,28,13,29.1
PRIORITY,44,31,29.1
INDEPENDENCE,27,12,29.0
CORRECT,43,30,29.0
UNIVERSITY,27,12,29.0
TEACHING,27,12,29.0
DUAL,21,6,28.9
MENTOR,21,6,28.9
KEEPING,40,27,28.8
CEO,24,9,28.8
GOAL,39,26,28.8
ANNUAL,33,19,28.8
CONSULTATION,32,18,28.7
SEEKING,32,18,28.7
IDENTIFIED,38,25,28.7
HSE,23,8,28.7
CONTACTS,31,17,28.6
ASKED,31,17,28.6
BRING,46,34,28.6
BREACHES,31,17,28.6
MANUFACTURE,31,17,28.6
CUSTOMARY,31,17,28.6
PLAY,36,23,28.5
PRECURSOR,17,3,28.5
CARRYING,36,23,28.5
ITEMS,30,16,28.4
IDEAS,42,30,28.4
VENTURES,30,16,28.4
PRESERVATION,30,16,28.4
PREVENTION,30,16,28.4
INCLUDED,35,22,28.3
DEGREE,29,15,28.3
CONTINUED,29,15,28.3
RESTRICTED,35,22,28.3
DRUG,28,14,28.2
PRESERVE,34,21,28.2
SOLUTIONS,40,28,28.2
DISPOSAL,34,21,28.2
MIND,34,21,28.2
JOKES,28,14,28.2
QUALIFICATIONS,33,20,28.1
DETERMINED,39,27,28.1
DECIDE,33,20,28.1
RELATIVES,33,20,28.1
ARISING,39,27,28.1
INTRODUCTION,33,20,28.1
VERBAL,33,20,28.1
POSITIVE,39,27,28.1
ENQUIRER,13,1,28.0
CHECK,27,13,28.0
TASKS,32,19,28.0
PATENTS,38,26,28.0
EXPERTS,32,19,28.0
LATVIA,13,1,28.0
RESPECTS,37,25,27.9
TREATED,45,34,27.9
SUFFICIENT,45,34,27.9
COSTS,37,25,27.9
HOC,15,2,27.8
QUALIFIED,43,32,27.8
EXPERIMENTS,25,11,27.8
REGION,25,11,27.8
ORIENTATION,36,24,27.8
TAKES,42,31,27.8
IMPARTIAL,36,24,27.8
PIC,15,2,27.8
EFFICIENCY,31,18,27.8
METHOD,30,17,27.7
REASONS,34,22,27.5
ETHICALLY,29,16,27.5
SUPERVISORS,29,16,27.5
VOLUNTARY,34,22,27.5
RAISING,34,22,27.5
DESIGNATED,34,22,27.5
TELEPHONE,33,21,27.4
REPRESENT,37,26,27.3
CHAIN,28,15,27.3
SIGN,28,15,27.3
DIFFICULT,32,20,27.2
MONITOR,36,25,27.2
CHANGE,36,25,27.2
ILLICIT,27,14,27.2
ENHANCE,42,32,27.2
REQUESTED,36,25,27.2
YEAR,31,19,27.1
IMPRISONMENT,26,13,27.0
EXPERTISE,40,30,27.0
BIOLOGICAL,26,13,27.0
HANDLE,35,24,27.0
UNION,26,13,27.0
CORRUPT,26,13,27.0
COMPLAINTS,30,18,26.9
PERFORMED,34,23,26.9
REMAIN,39,29,26.9
LARGE,34,23,26.9
IMPARTIALITY,30,18,26.9
ICT,16,3,26.8
CONTINUE,38,28,26.8
PROGRAM,29,17,26.7
BALANCE,33,22,26.7
ELECTED,24,11,26.7
DISCUSSION,33,22,26.7
EXCEED,29,17,26.7
PARTNERSHIP,33,22,26.7
SOURCE,37,27,26.7
ADVANTAGES,29,17,26.7
ALLEGATIONS,24,11,26.7
STORED,32,21,26.6
RECOGNIZED,32,21,26.6
THREATS,32,21,26.6
OPERATIONAL,32,21,26.6
FORCE,32,21,26.6
CONSTITUTE,36,26,26.5
NOTE,36,26,26.5
AUDITOR,23,10,26.5
IDENTIFICATION,28,16,26.5
JOURNALS,28,16,26.5
ACCEPTANCE,28,16,26.5
OCCURS,31,20,26.4
INSTITUTES,22,9,26.4
MODEL,27,15,26.4
RETENTION,27,15,26.4
CHARTERED,17,4,26.4
NATIONS,27,15,26.4
CONTRARY,35,25,26.4
RACE,49,41,26.4
COLLECTION,27,15,26.4
COPYRIGHT,35,25,26.4
THING,27,15,26.4
AD,17,4,26.4
PRACTISE,17,4,26.4
IMAGE,31,20,26.4
FORCED,34,24,26.3
DISTRIBUTION,34,24,26.3
STRATEGIES,30,19,26.2
WASTE,38,29,26.2
MENTORS,18,5,26.2
SCHEDULED,18,5,26.2
THINGS,26,14,26.2
COMMITTEES,18,5,26.2
CHOOSE,30,19,26.2
ENABLE,30,19,26.2
PERSONALLY,33,23,26.1
ARTICLES,33,23,26.1
PATIENTS,20,7,26.1
RECOMMENDED,29,18,26.0
EXECUTION,25,13,26.0
TOLERANCE,25,13,26.0
TALK,25,13,26.0
CHANNELS,25,13,26.0
CONSULTANT,29,18,26.0
COMPLEX,29,18,26.0
SAFELY,32,22,25.9
RELIGION,48,41,25.9
IMPROPERLY,32,22,25.9
COORDINATORS,14,2,25.9
ZEALAND,14,2,25.9
HSSE,14,2,25.9
CONDITION,40,32,25.9
FORMAL,28,17,25.8
COST,35,26,25.8
LEADER,24,12,25.8
IV,28,17,25.8
SIGNED,28,17,25.8
PAGE,24,12,25.8
APPOINTED,28,17,25.8
TRADERS,12,1,25.8
STATED,28,17,25.8
STRONG,31,21,25.7
PROFIT,31,21,25.7
CONTINUOUSLY,31,21,25.7
AGREED,38,30,25.7
CHILDREN,27,16,25.6
INTIMIDATION,27,16,25.6
DESCRIPTION,23,11,25.6
BOYCOTT,23,11,25.6
LIKEWISE,23,11,25.6
PROMOTION,42,35,25.5
PRESCRIBED,26,15,25.4
PRACTITIONERS,22,10,25.4
UNITS,22,10,25.4
ACCIDENTS,26,15,25.4
LEARN,26,15,25.4
WORKERS,36,28,25.4
DAMAGES,29,19,25.3
INSTANCES,32,23,25.3
POTENTIALLY,29,19,25.3
RETAINED,25,14,25.2
SPECIFICATIONS,25,14,25.2
ERRORS,25,14,25.2
SENDING,25,14,25.2
INCIDENT,28,18,25.1
INJURY,28,18,25.1
OJSC,15,3,25.1
FOSTER,34,26,25.1
CONTINUOUS,34,26,25.1
RECORDED,28,18,25.1
EFFORT,38,31,25.1
SUPPORTED,31,22,25.1
VENTURE,28,18,25.1
MORAL,27,17,24.9
STORE,24,13,24.9
JUSTIFIED,30,21,24.9
PUBLISHING,24,13,24.9
PROVIDERS,24,13,24.9
RECOGNITION,33,25,24.9
REVIEWS,27,17,24.9
LIMIT,33,25,24.9
COMPETING,30,21,24.9
SELLING,24,13,24.9
SPOUSE,27,17,24.9
BELONGING,27,17,24.9
ORIGINAL,30,21,24.9
AUTHORISATION,19,7,24.8
HAZARDOUS,23,12,24.7
PERCENT,17,5,24.7
DILEMMAS,17,5,24.7
ONLINE,18,6,24.7
BID,23,12,24.7
DEVELOPED,35,28,24.7
TYPE,32,24,24.7
OUTCOME,26,16,24.7
ENQUIRY,17,5,24.7
FACILITATE,32,24,24.7
WIDER,23,12,24.7
STRATEGY,26,16,24.7
COMPLIES,26,16,24.7
INSPECTION,18,6,24.7
INITIATIVES,26,16,24.7
PLAGIARISM,26,16,24.7
SOURCES,32,24,24.7
PRACTICAL,38,32,24.6
INVESTIGATED,28,19,24.5
MAINTENANCE,34,27,24.5
REGULATED,28,19,24.5
SAFEGUARDING,25,15,24.4
REMEMBER,25,15,24.4
CAUTION,22,11,24.4
CAREER,25,15,24.4
WITNESS,22,11,24.4
PROCEEDINGS,25,15,24.4
CLIENTS,22,11,24.4
GENERATIONS,25,15,24.4
EXIST,30,22,24.3
OBJECTIVITY,30,22,24.3
AVOIDING,30,22,24.3
OFFERS,30,22,24.3
COLLABORATION,27,18,24.2
COURTESY,27,18,24.2
EXISTS,27,18,24.2
REFUSE,27,18,24.2
TASK,21,10,24.2
EXPRESSLY,21,10,24.2
VIEW,38,33,24.1
PAR,13,2,24.1
CE,13,2,24.1
HUNGARIAN,13,2,24.1
UNEP,13,2,24.1
FORTHWITH,13,2,24.1
SUPPORTING,32,25,24.1
PURCHASING,24,14,24.1
ACCOUNTABLE,29,21,24.1
NEGATIVE,29,21,24.1
SENSE,35,29,24.1
STUDIES,20,9,24.0
SECRET,26,17,24.0
CONTINUING,26,17,24.0
INVESTORS,26,17,24.0
CONCLUSIONS,23,13,23.9
KNOWINGLY,31,24,23.9
FAVORS,23,13,23.9
QUESTIONABLE,31,24,23.9
PLAN,31,24,23.9
REGULAR,33,27,23.8
DETAILED,28,20,23.8
AVOIDED,28,20,23.8
CAREFUL,28,20,23.8
INCREASE,28,20,23.8
ASSESS,25,16,23.7
DONOR,11,1,23.7
SELECTION,30,23,23.7
FACTORS,25,16,23.7
CGIC,11,1,23.7
DECLARE,27,19,23.6
RANGE,27,19,23.6
ENTERPRISES,27,19,23.6
OPTIONS,22,12,23.6
USER,22,12,23.6
REVIEWED,27,19,23.6
TOLERATED,27,19,23.6
DELIBERATE,22,12,23.6
DATABASE,18,7,23.5
DENTIAL,14,3,23.5
PROPOSALS,29,22,23.5
VOTING,14,3,23.5
OPENNESS,29,22,23.5
DESTRUCTION,24,15,23.4
PRICING,24,15,23.4
PATENT,24,15,23.4
OBLIGED,24,15,23.4
CONTAINED,31,25,23.4
BORDERS,21,11,23.3
FORMAT,21,11,23.3
HOUSEHOLD,15,4,23.3
SEARCH,21,11,23.3
KICKBACKS,21,11,23.3
EVALUATE,26,18,23.3
AUGUST,16,5,23.3
COVERED,26,18,23.3
SERVING,28,21,23.2
MERIT,30,24,23.2
RETURN,30,24,23.2
SUBORDINATES,30,24,23.2
VALID,28,21,23.2
FOUNDATION,30,24,23.2
PROHIBITS,23,14,23.1
STATUTORY,23,14,23.1
DULY,23,14,23.1
POSSIBILITY,23,14,23.1
ATTEND,23,14,23.1
ROUTINE,25,17,23.0
REFERENCES,25,17,23.0
NEWS,20,10,23.0
CONSUMER,20,10,23.0
SEVERE,27,20,23.0
SECTIONS,25,17,23.0
ENTRUSTED,25,17,23.0
AUDITORS,20,10,23.0
COLLECTIVE,27,20,23.0
ARISES,27,20,23.0
BIDDING,20,10,23.0
DIFFERENCES,27,20,23.0
VIOLATES,27,20,23.0
SMALL,29,23,22.9
UNSURE,22,13,22.8
CHARACTERISTICS,24,16,22.8
UNAUTHORISED,19,9,22.8
OCCUPATIONAL,24,16,22.8
APPLYING,24,16,22.8
DISTRIBUTORS,22,13,22.8
MANAGED,22,13,22.8
PREJUDICE,22,13,22.8
GOVERNED,24,16,22.8
EXPLAIN,24,16,22.8
APPROVALS,22,13,22.8
FULFIL,22,13,22.8
TYPES,28,22,22.7
UNDERTAKING,26,19,22.7
HANDLED,28,22,22.7
FORWARD,26,19,22.7
ASSET,26,19,22.7
INTENT,26,19,22.7
ADMINISTRATIVE,28,22,22.7
PAID,30,25,22.6
PURSUE,21,12,22.5
RECOGNISED,21,12,22.5
DEVICES,23,15,22.5
FINAL,23,15,22.5
FAMILIAR,23,15,22.5
INFRINGEMENT,21,12,22.5
DESTROY,23,15,22.5
CORRECTIVE,21,12,22.5
EXPORTS,21,12,22.5
VIEWS,25,18,22.4
INVESTIGATE,29,24,22.4
REAL,25,18,22.4
DISCOUNTS,20,11,22.2
PROSECUTION,20,11,22.2
LEARNING,20,11,22.2
OUTLINED,20,11,22.2
CLASS,20,11,22.2
INVOLVES,24,17,22.1
POST,22,14,22.1
DISCLOSING,26,20,22.1
PROFESSIONALISM,24,17,22.1
PREPARATION,22,14,22.1
GRANTED,24,17,22.1
ENTERING,24,17,22.1
PRODUCE,28,23,22.1
JUDGEMENT,24,17,22.1
PROJECTS,24,17,22.1
BEAR,28,23,22.1
WORLDWIDE,26,20,22.1
ENCOURAGES,26,20,22.1
PROCEED,24,17,22.1
CONFORM,30,26,22.1
LIABLE,22,14,22.1
EXCESSIVE,22,14,22.1
DISABILITY,30,26,22.1
CONSTRUCTIVE,24,17,22.1
DELAY,22,14,22.1
INVESTIGATOR,16,6,22.0
HEARING,16,6,22.0
THREAT,29,25,21.9
HEREINAFTER,19,10,21.9
PERTAINING,27,22,21.9
OWNER,19,10,21.9
ADOPT,27,22,21.9
EXPORTING,19,10,21.9
PRESS,27,22,21.9
DELIVER,19,10,21.9
ATTORNEY,15,5,21.8
DIALOGUE,25,19,21.8
DISCRETION,25,19,21.8
FAVOUR,23,16,21.8
INVESTMENTS,21,13,21.8
SUPPLEMENT,13,3,21.8
RECRUITMENT,23,16,21.8
DEMAND,23,16,21.8
DAILY,23,16,21.8
SPEAKING,25,19,21.8
OBSERVANCE,21,13,21.8
PROMISE,23,16,21.8
ETHNIC,23,16,21.8
AIMED,25,19,21.8
MESSAGES,21,13,21.8
DEPEND,25,19,21.8
GM,13,3,21.8
FEDERATION,14,4,21.7
AGENDA,14,4,21.7
FOCUS,26,21,21.6
IDENTIFYING,30,27,21.6
INQUIRY,18,9,21.6
UNDERTAKES,18,9,21.6
ACHIEVING,28,24,21.6
EHS,10,1,21.5
AIMS,24,18,21.5
ASSOCIATES,22,15,21.5
TAX,22,15,21.5
RECOGNIZES,22,15,21.5
DEPENDING,22,15,21.5
SP,10,1,21.5
RESOLVED,22,15,21.5
HITACHI,10,1,21.5
MISUSED,20,12,21.5
PRODUCERS,10,1,21.5
TASKFORCE,10,1,21.5
COI,10,1,21.5
IRRESPECTIVE,22,15,21.5
LIVING,22,15,21.5
INFLUENCED,22,15,21.5
LEOPOLDINA,10,1,21.5
INTEGRITYLINE,10,1,21.5
GROUNDS,22,15,21.5
INTEGRITYONLINE,10,1,21.5
MANUFACTURING,24,18,21.5
TRUE,24,18,21.5
DEMANDANT,10,1,21.5
STEWARDSHIP,20,12,21.5
PRESENTED,24,18,21.5
GOVERN,22,15,21.5
PLACES,25,20,21.3
RECORDING,27,23,21.3
CHOICE,25,20,21.3
DETAIL,25,20,21.3
LOYALTY,23,17,21.2
SETTING,23,17,21.2
ADOPTION,17,8,21.2
NOTICE,23,17,21.2
NETWORK,17,8,21.2
SUPERIOR,23,17,21.2
SOLICIT,23,17,21.2
CRITICISM,23,17,21.2
IMPOSED,23,17,21.2
OFFENCE,17,8,21.2
SPECIFICALLY,23,17,21.2
CONVENTIONS,19,11,21.1
PROHIBITIONS,19,11,21.1
COMFORTABLE,19,11,21.1
PREVENTING,26,22,21.1
ASSUME,21,14,21.1
CHALLENGES,21,14,21.1
EUROPEAN,19,11,21.1
BELIEFS,19,11,21.1
LITIGATION,21,14,21.1
SOCIETIES,26,22,21.1
HIRE,21,14,21.1
MECHANISMS,19,11,21.1
STIPULATED,21,14,21.1
COLLECTED,19,11,21.1
FALSIFICATION,21,14,21.1
DISCUSSED,24,19,21.0
DEVELOPMENTS,24,19,21.0
CAREFULLY,24,19,21.0
MISREPRESENTATION,24,19,21.0
STRATEGIC,24,19,21.0
CONCEAL,24,19,21.0
COPYRIGHTS,22,16,20.9
EXCEPTION,22,16,20.9
FACILITY,16,7,20.9
SIMILARLY,22,16,20.9
WORDS,22,16,20.9
DEPENDS,22,16,20.9
HELPS,22,16,20.9
AUDITS,20,13,20.8
PROHIBITION,20,13,20.8
ITEM,20,13,20.8
REGIONS,20,13,20.8
COMMUNICATING,20,13,20.8
LICENSE,20,13,20.8
INTERPRETATION,25,21,20.8
OBJECTIVELY,20,13,20.8
GUIDED,25,21,20.8
REACH,20,13,20.8
HARDWARE,18,10,20.7
ANONYMOUS,18,10,20.7
UNDUE,18,10,20.7
MESSAGE,18,10,20.7
ADVISORY,18,10,20.7
MANKIND,18,10,20.7
TION,15,6,20.6
ENGINEERS,15,6,20.6
INTERNATIONALLY,23,18,20.6
STANDING,23,18,20.6
AGENCY,21,15,20.5
CANDIDATE,21,15,20.5
ROLES,21,15,20.5
ACCIDENT,21,15,20.5
HIGHLY,21,15,20.5
IMPORTS,17,9,20.4
ACQUIRE,24,20,20.4
PURCHASER,11,2,20.4
MANIPULATION,19,12,20.4
CONSISTENTLY,17,9,20.4
PSYCHOLOGICAL,17,9,20.4
HOME,19,12,20.4
MANNERS,11,2,20.4
INDUSTRIES,19,12,20.4
DANGER,17,9,20.4
CIRCUMSTANCE,22,17,20.3
APPENDIX,14,5,20.3
COMPREHENSIVE,22,17,20.3
JOBS,22,17,20.3
ESTABLISHING,22,17,20.3
ONGOING,22,17,20.3
DISCUSSING,22,17,20.3
PRODUCED,22,17,20.3
ETHIC,13,4,20.2
ASSEMBLY,13,4,20.2
COMMIT,25,22,20.2
SHEET,13,4,20.2
PRE,20,14,20.1
IMPROVING,26,24,20.1
RESPONSE,23,19,20.1
COORDINATOR,12,3,20.1
FRIENDS,20,14,20.1
SELECTING,20,14,20.1
STRIVES,20,14,20.1
PRODUCTIVITY,20,14,20.1
AUDITING,20,14,20.1
CITIZEN,20,14,20.1
SIMPLE,20,14,20.1
ANTIBOYCOTT,12,3,20.1
NATIONALITY,23,19,20.1
SCHOOL,12,3,20.1
UNIQUE,23,19,20.1
AWARD,20,14,20.1
DOMESTIC,20,14,20.1
COLLECT,20,14,20.1
ENCOUNTER,18,11,20.0
UNIVERSAL,18,11,20.0
PRODUCING,16,8,20.0
FEEDBACK,18,11,20.0
ENVIRONMENTS,16,8,20.0
COURTESIES,16,8,20.0
AVOIDANCE,18,11,20.0
HONOUR,18,11,20.0
PROCEEDS,16,8,20.0
PARENTS,18,11,20.0
TECHNIQUES,18,11,20.0
LOCATIONS,18,11,20.0
BOYCOTTS,18,11,20.0
MANDATORY,16,8,20.0
UNDERSTOOD,21,16,19.9
SETS,24,21,19.9
LIVE,21,16,19.9
HIGHER,21,16,19.9
PREPARE,21,16,19.9
ADVISE,25,23,19.8
SKILL,22,18,19.7
DISCUSSIONS,22,18,19.7
ENVIRONMENTALLY,19,13,19.7
ASSOCIATIONS,22,18,19.7
BELIEVES,22,18,19.7
PLEDGE,15,7,19.6
POINTS,15,7,19.6
CERTIFICATE,15,7,19.6
NETHERLANDS,15,7,19.6
REGULARLY,23,20,19.6
ADHERENCE,23,20,19.6
TITLE,17,10,19.6
ASSURANCE,17,10,19.6
ACQUISITION,23,20,19.6
HONOR,23,20,19.6
DOUBTS,20,15,19.5
FRAUDULENT,20,15,19.5
DIVERSE,20,15,19.5
SEEKS,20,15,19.5
PRESSURE,20,15,19.5
