Text,Frequency,Case,TF-IDF
ASSOCIATE,20,15,19.5
SUSPICION,20,15,19.5
CONSTITUTES,20,15,19.5
INJURIES,20,15,19.5
REPRESENTING,20,15,19.5
EQUIVALENT,21,17,19.4
REGARDED,21,17,19.4
DIRECTION,21,17,19.4
FAIL,21,17,19.4
IMPROVEMENTS,21,17,19.4
UNDERTAKEN,21,17,19.4
EARLY,21,17,19.4
INITIATIVE,21,17,19.4
TOTAL,18,12,19.3
TRADED,18,12,19.3
CHARGES,18,12,19.3
CRIME,18,12,19.3
EDUCATIONAL,25,24,19.3
INQUIRIES,18,12,19.3
TRANSFERRING,16,9,19.2
FUNCTIONING,16,9,19.2
CLASSIFICATION,16,9,19.2
ABUSIVE,16,9,19.2
POWERS,16,9,19.2
ADVERSELY,19,14,19.1
STRUCTURE,19,14,19.1
TRUTH,19,14,19.1
BENEFICIAL,19,14,19.1
FIRM,19,14,19.1
GRANT,19,14,19.1
LOANS,19,14,19.1
RESPECTED,20,16,19.0
PRECAUTIONS,20,16,19.0
LOCATION,20,16,19.0
SUCCESSFUL,20,16,19.0
INSTRUMENTS,17,11,18.9
ENTERED,17,11,18.9
COMPLETELY,17,11,18.9
SPONSORS,13,5,18.9
ENFORCEMENT,17,11,18.9
VITAL,17,11,18.9
BULLYING,17,11,18.9
ING,13,5,18.9
OVERSIGHT,17,11,18.9
AFRICA,13,5,18.9
ORGANISATIONAL,13,5,18.9
JUSTIFY,21,18,18.8
POWER,21,18,18.8
RESPECTFUL,18,13,18.7
SOUGHT,18,13,18.7
ASSIGNMENTS,18,13,18.7
CREATED,22,20,18.7
ABROAD,18,13,18.7
COUNTER,15,8,18.7
RENDERED,18,13,18.7
INACCURATE,18,13,18.7
EMISSIONS,18,13,18.7
MISREPRESENT,18,13,18.7
TRANSPORT,18,13,18.7
APPARENT,18,13,18.7
OCCASIONAL,18,13,18.7
SALARY,18,13,18.7
SHOW,18,13,18.7
ED,12,4,18.6
LABELLING,12,4,18.6
UNIVERSITIES,12,4,18.6
SOUTH,12,4,18.6
CONDUCTS,19,15,18.5
AVAILABILITY,19,15,18.5
NORWEGIAN,10,2,18.5
TRIBUNALS,10,2,18.5
REVIEWING,19,15,18.5
LEADERSHIP,19,15,18.5
BROAD,19,15,18.5
CHARGE,19,15,18.5
ACQUIRED,20,17,18.4
LABELS,11,3,18.4
EVALUATING,16,10,18.4
FULFILL,16,10,18.4
VERTICAL,11,3,18.4
LIAISON,11,3,18.4
RELEASE,20,17,18.4
EXCLUSIVE,16,10,18.4
MINUTES,16,10,18.4
PASSWORDS,20,17,18.4
CONSTRUED,20,17,18.4
VENDOR,16,10,18.4
AUSTRALIAN,11,3,18.4
CHARACTER,20,17,18.4
COPIES,20,17,18.4
INCOMPLETE,16,10,18.4
COPYRIGHTED,16,10,18.4
UNDERMINE,20,17,18.4
UND,11,3,18.4
NETWORKING,14,7,18.3
INTANGIBLE,21,19,18.3
LIMITATION,14,7,18.3
PEERS,14,7,18.3
PROTOCOL,14,7,18.3
CLAIMS,22,21,18.3
JURISDICTIONS,17,12,18.2
ENCOURAGING,17,12,18.2
THINKING,17,12,18.2
UNWELCOME,17,12,18.2
CAPITAL,17,12,18.2
RESTRICTION,17,12,18.2
RISE,18,14,18.1
REFUSAL,18,14,18.1
DETERMINING,18,14,18.1
TRANSPORTATION,18,14,18.1
SATISFACTION,18,14,18.1
ACQUISITIONS,18,14,18.1
ARRANGEMENT,18,14,18.1
PRESENTATION,18,14,18.1
FILES,18,14,18.1
LOW,18,14,18.1
CONTRIBUTING,18,14,18.1
FABRICATION,18,14,18.1
MEASURE,18,14,18.1
EQUITY,18,14,18.1
DOCUMENTED,18,14,18.1
PROVIDER,15,9,18.0
TALENTS,15,9,18.0
SUPERIORS,15,9,18.0
SUGGESTIONS,15,9,18.0
WIDE,19,16,18.0
PURSUANT,15,9,18.0
ATTEMPTS,15,9,18.0
VEHICLES,15,9,18.0
WEB,15,9,18.0
DEMANDS,19,16,18.0
STAGE,19,16,18.0
CREATION,19,16,18.0
COMPACT,15,9,18.0
BUILT,19,16,18.0
PRO,15,9,18.0
ENQUIRIES,15,9,18.0
PLANTS,19,16,18.0
MANAGERIAL,15,9,18.0
CONFORMITY,15,9,18.0
MARITAL,19,16,18.0
EFFICIENT,20,18,17.9
CITIZENSHIP,13,6,17.9
EN,13,6,17.9
REVISION,13,6,17.9
RATIONAL,13,6,17.9
ACCREDITED,13,6,17.9
CENTRAL,13,6,17.9
EFFICIENTLY,20,18,17.9
CONTROLLER,13,6,17.9
EXAMINATION,13,6,17.9
INCONSISTENT,16,11,17.8
BUYING,16,11,17.8
DISSEMINATE,16,11,17.8
PROFITS,16,11,17.8
ENDEAVOR,16,11,17.8
DEFINITIONS,16,11,17.8
CARDS,16,11,17.8
CONTENTS,16,11,17.8
VISION,16,11,17.8
EMERGENCY,16,11,17.8
INCLUSIVE,16,11,17.8
CONTRACTING,17,13,17.7
CLAIM,17,13,17.7
SHORT,17,13,17.7
OBSERVED,17,13,17.7
EMPLOY,17,13,17.7
VARIETY,17,13,17.7
FOUNDED,17,13,17.7
POSSESS,17,13,17.7
BROUGHT,17,13,17.7
PAPERS,18,15,17.6
GREATER,18,15,17.6
DISCRIMINATORY,18,15,17.6
INNOVATION,18,15,17.6
VIOLATING,18,15,17.6
ATTITUDE,18,15,17.6
PAPER,18,15,17.6
INTENTIONALLY,18,15,17.6
SUPPLIES,18,15,17.6
AMOUNTS,14,8,17.5
ADVANCES,19,17,17.5
GATHERING,14,8,17.5
EXTEND,20,19,17.5
UNDERSTANDABLE,19,17,17.5
BUILDING,19,17,17.5
ANONYMOUSLY,14,8,17.5
HELPING,14,8,17.5
STAND,14,8,17.5
MECHANISM,14,8,17.5
BRANDS,12,5,17.4
INDIGENOUS,12,5,17.4
DIVERSION,12,5,17.4
GERMAN,12,5,17.4
CHAIRPERSON,12,5,17.4
CONSTRAINTS,12,5,17.4
INCOME,15,10,17.3
ELECTION,15,10,17.3
ENTRIES,15,10,17.3
EXPLICITLY,15,10,17.3
HOLDS,15,10,17.3
BEHAVIORS,15,10,17.3
IDENTIFIABLE,15,10,17.3
OBEY,15,10,17.3
ADHERING,15,10,17.3
REGULATE,15,10,17.3
ENTRY,16,12,17.2
LISTS,16,12,17.2
CAPABLE,16,12,17.2
HARD,16,12,17.2
TREATING,16,12,17.2
START,16,12,17.2
VERSION,16,12,17.2
ACCESSIBLE,16,12,17.2
WRONG,16,12,17.2
IMPLY,16,12,17.2
BAD,16,12,17.2
TODAY,16,12,17.2
ABSENCE,16,12,17.2
PERMANENT,16,12,17.2
FAILING,16,12,17.2
TEST,16,12,17.2
ADMINISTRATION,18,16,17.1
VOTE,11,4,17.1
SEXUALLY,17,14,17.1
PAST,18,16,17.1
UNNECESSARY,17,14,17.1
COUNTERPARTIES,11,4,17.1
ALTERNATIVE,17,14,17.1
RAW,17,14,17.1
IMPLICATIONS,18,16,17.1
TECHNOLOGICAL,17,14,17.1
INSTITUTIONS,17,14,17.1
IMPOSE,18,16,17.1
COMMUNICATED,18,16,17.1
LIGHT,19,18,17.0
DOMINANT,13,7,17.0
MODIFICATION,13,7,17.0
WORKER,13,7,17.0
ADVERTISEMENT,13,7,17.0
SE,13,7,17.0
KICKBACK,13,7,17.0
DECIDED,13,7,17.0
WAIVERS,14,9,16.8
FRIEND,14,9,16.8
PRESENTING,14,9,16.8
DIRECTORSHIPS,10,3,16.8
PROTECTIVE,14,9,16.8
FORUM,14,9,16.8
LITERATURE,14,9,16.8
PERTINENT,14,9,16.8
MINISTRY,10,3,16.8
COMPLIANT,14,9,16.8
HUMANS,14,9,16.8
JOURNAL,14,9,16.8
APPROVE,14,9,16.8
DUTCH,10,3,16.8
PROMOTIONAL,14,9,16.8
CONDONE,14,9,16.8
PHONE,15,11,16.7
WITHDRAW,15,11,16.7
HOSTILE,15,11,16.7
DISCHARGE,15,11,16.7
PRINCIPAL,15,11,16.7
EXPOSE,15,11,16.7
ATTEMPTING,15,11,16.7
DOMAIN,15,11,16.7
POLLUTION,15,11,16.7
CONSERVATION,15,11,16.7
INTERACT,15,11,16.7
DISTRIBUTE,15,11,16.7
APPOINT,16,13,16.6
BIAS,17,15,16.6
RECEIVES,17,15,16.6
AFFECTING,16,13,16.6
EQUALLY,17,15,16.6
ADEQUATELY,17,15,16.6
PREFERENCE,17,15,16.6
GUIDING,17,15,16.6
ALLEGED,16,13,16.6
PROTOCOLS,16,13,16.6
GAINED,16,13,16.6
NEEDED,18,17,16.6
UNUSUAL,16,13,16.6
MONETARY,16,13,16.6
PREVIOUS,17,15,16.6
PERMITS,17,15,16.6
SOCIETAL,12,6,16.5
STYLE,12,6,16.5
DANGERS,12,6,16.5
RESTRAINTS,12,6,16.5
PETROLEUM,12,6,16.5
TIPPING,12,6,16.5
WHILST,12,6,16.5
INFL,12,6,16.5
REPUBLIC,12,6,16.5
JAPAN,12,6,16.5
FAVOURABLE,13,8,16.2
INVOICES,13,8,16.2
SPECIALISTS,13,8,16.2
PARAGRAPH,13,8,16.2
WISHES,13,8,16.2
WHOLLY,13,8,16.2
COMMENT,13,8,16.2
NETWORKS,14,10,16.1
OFFICES,15,12,16.1
SPONSORED,15,12,16.1
DESTINATION,14,10,16.1
HUMANKIND,14,10,16.1
FRIENDLY,14,10,16.1
MARKETPLACE,14,10,16.1
EXCEPTIONS,14,10,16.1
PLANNED,15,12,16.1
ESTABLISHMENT,14,10,16.1
CULTURES,15,12,16.1
LEAVE,17,16,16.1
TRAIN,14,10,16.1
FILED,14,10,16.1
NAMES,15,12,16.1
UNDISCLOSED,15,12,16.1
SIGNING,14,10,16.1
SIGNIFICANCE,14,10,16.1
RESULTING,16,14,16.1
ASPECT,14,10,16.1
PRIVILEGED,15,12,16.1
BASE,16,14,16.1
FAX,15,12,16.1
APPLICANTS,15,12,16.1
FEAR,15,12,16.1
VARY,16,14,16.1
SOLELY,15,12,16.1
DECEPTIVE,15,12,16.1
COMPATIBLE,14,10,16.1
REFERS,17,16,16.1
PROSPECTIVE,15,12,16.1
UNCERTAIN,14,10,16.1
RECOMMEND,18,18,16.1
BELONGS,15,12,16.1
LIVES,16,14,16.1
MAXIMUM,15,12,16.1
FUND,15,12,16.1
WAIVER,14,10,16.1
PURSUIT,14,10,16.1
MET,16,14,16.1
CORRECTLY,17,16,16.1
STRONGLY,15,12,16.1
ACKNOWLEDGED,14,10,16.1
BOARDS,15,12,16.1
GREAT,14,10,16.1
TRIALS,11,5,16.0
TOLD,11,5,16.0
NET,11,5,16.0
ARTS,11,5,16.0
SUBSIDIARY,11,5,16.0
CORRECTION,11,5,16.0
SUSCEPTIBLE,11,5,16.0
SOLVING,11,5,16.0
HELPFUL,11,5,16.0
FAMILIARIZE,12,7,15.7
PROFITABILITY,12,7,15.7
GATHER,12,7,15.7
DEFINE,17,17,15.7
ADDRESSES,12,7,15.7
DEFENSE,12,7,15.7
INVENTION,12,7,15.7
CAMPAIGN,12,7,15.7
INDICATING,12,7,15.7
TICKETS,13,9,15.6
SOCIALLY,14,11,15.6
INVEST,13,9,15.6
POSE,14,11,15.6
MENTAL,14,11,15.6
ENDEAVORS,14,11,15.6
COURSES,14,11,15.6
INCREASING,15,13,15.6
TERRITORIES,13,9,15.6
TERRORISM,14,11,15.6
LACK,14,11,15.6
RELEASED,13,9,15.6
EFFECTIVENESS,15,13,15.6
ECONOMY,13,9,15.6
UPDATED,13,9,15.6
JUDGMENTS,13,9,15.6
EXPERIENCES,15,13,15.6
UTILIZE,13,9,15.6
SEX,16,15,15.6
INTIMIDATING,15,13,15.6
UTMOST,15,13,15.6
INNOVATIVE,14,11,15.6
EXPLOITATION,13,9,15.6
LONGER,14,11,15.6
IMPLEMENTED,15,13,15.6
DEALT,13,9,15.6
PRESENCE,13,9,15.6
PARAMOUNT,13,9,15.6
DERIVE,13,9,15.6
COUNTERPARTY,13,9,15.6
FOOD,14,11,15.6
EXTRA,13,9,15.6
FIXING,14,11,15.6
ADOPTING,13,9,15.6
NEGOTIATIONS,16,15,15.6
COMPROMISED,14,11,15.6
KNOWING,13,9,15.6
DETRIMENTAL,13,9,15.6
BOUND,15,13,15.6
BOUNDARIES,14,11,15.6
APPROACHES,15,13,15.6
RAISED,13,9,15.6
TOPICS,14,11,15.6
MISSION,14,11,15.6
SELECTED,13,9,15.6
FIGHTING,10,4,15.5
VIDEOS,10,4,15.5
WAGE,10,4,15.5
COURTS,10,4,15.5
COLLUSION,10,4,15.5
PRESENTS,10,4,15.5
BLOGS,10,4,15.5
EH,10,4,15.5
SUITABLE,16,16,15.2
STRIVING,15,14,15.1
TERRORIST,11,6,15.1
DEDICATED,11,6,15.1
NOTIFIED,15,14,15.1
REFLECTS,15,14,15.1
EU,11,6,15.1
REVIEWERS,11,6,15.1
CHINA,11,6,15.1
EXPLICIT,15,14,15.1
DECLINE,15,14,15.1
PROTECTS,15,14,15.1
VEHICLE,11,6,15.1
EQUALITY,11,6,15.1
ANNEX,11,6,15.1
LETTERS,13,10,15.0
LAID,12,8,15.0
LINKS,12,8,15.0
COERCION,12,8,15.0
TRAINED,14,12,15.0
ALERT,13,10,15.0
ABILITIES,12,8,15.0
SATISFY,14,12,15.0
ENSURED,12,8,15.0
ADHERES,14,12,15.0
ORGANIZATIONAL,13,10,15.0
DEROGATORY,14,12,15.0
PREAMBLE,13,10,15.0
INDUCEMENT,13,10,15.0
PREFERENCES,12,8,15.0
PREPARING,12,8,15.0
SUCCEED,12,8,15.0
FOREGOING,12,8,15.0
GAS,12,8,15.0
MALICIOUS,14,12,15.0
JOINTLY,13,10,15.0
PREVIOUSLY,13,10,15.0
AGREEING,13,10,15.0
REDUCTION,14,12,15.0
EXPECTATION,14,12,15.0
SHEETS,12,8,15.0
FUNDERS,12,8,15.0
ADHERED,14,12,15.0
LEAVING,14,12,15.0
INFLUENCING,14,12,15.0
SHOWING,13,10,15.0
CUSTOM,14,12,15.0
CONSUMPTION,14,12,15.0
EVALUATED,13,10,15.0
GUILTY,13,10,15.0
PRESENTATIONS,13,10,15.0
DELIBERATELY,14,12,15.0
CONSCIOUS,13,10,15.0
IGNORE,12,8,15.0
CATEGORIES,13,10,15.0
THREATENED,13,10,15.0
INFRINGE,12,8,15.0
IMPLEMENTING,14,12,15.0
BIDS,14,12,15.0
UNBIASED,13,10,15.0
CHANGING,13,10,15.0
HERITAGE,12,8,15.0
MISLEAD,13,10,15.0
RESERVES,13,10,15.0
INSURANCE,12,8,15.0
REQUIRING,14,12,15.0
NEGLIGENCE,14,12,15.0
WATER,14,12,15.0
REGULATING,14,12,15.0
INTERFERES,13,10,15.0
TRANSPARENTLY,13,10,15.0
CLIMATE,12,8,15.0
CREATES,14,12,15.0
COMPLETENESS,12,8,15.0
CREATIVITY,14,12,15.0
NOTIFICATION,12,8,15.0
PARTS,15,15,14.6
INDUCTION,10,5,14.5
DEVICE,10,5,14.5
BRINGING,10,5,14.5
MEAL,10,5,14.5
ELECT,10,5,14.5
LEADING,14,13,14.5
COLOR,14,13,14.5
OCCURRING,10,5,14.5
MOBILE,10,5,14.5
MONITORED,14,13,14.5
REPRESENTED,14,13,14.5
PAYING,14,13,14.5
WHISTLEBLOWING,10,5,14.5
CITIZENS,14,13,14.5
PERCEPTION,12,9,14.4
USAGE,13,11,14.4
REIMBURSEMENT,12,9,14.4
FACTUAL,13,11,14.4
RELATE,13,11,14.4
CONSCIENCE,11,7,14.4
SUBORDINATE,13,11,14.4
WEEK,12,9,14.4
FAVOR,13,11,14.4
TURN,13,11,14.4
VERIFY,12,9,14.4
COLLECTING,11,7,14.4
CONFIRM,12,9,14.4
PRIMARILY,13,11,14.4
REDUCING,13,11,14.4
DRAWN,12,9,14.4
FORMULATED,12,9,14.4
INDIVIDUALLY,13,11,14.4
DRIVE,12,9,14.4
GUARANTEE,13,11,14.4
TRADES,12,9,14.4
SCHEDULE,11,7,14.4
EXISTENCE,12,9,14.4
REWARD,13,11,14.4
PASS,12,9,14.4
TAXES,12,9,14.4
SAFEGUARDS,13,11,14.4
TREATS,11,7,14.4
VOICE,12,9,14.4
HUMANITY,12,9,14.4
HONORARY,12,9,14.4
EXECUTIVES,12,9,14.4
WORD,12,9,14.4
COMPLETION,13,11,14.4
ATTACHED,11,7,14.4
PROHIBITING,12,9,14.4
EXCHANGING,12,9,14.4
CONSIDERS,13,11,14.4
WEBSITES,12,9,14.4
APPEARS,13,11,14.4
WELLBEING,11,7,14.4
WHISTLEBLOWER,11,7,14.4
MONTHS,11,7,14.4
CHOICES,11,7,14.4
GROSS,11,7,14.4
DEPARTMENTS,12,9,14.4
PRIME,11,7,14.4
CHARGED,13,11,14.4
RESPONDING,12,9,14.4
INVESTIGATING,12,9,14.4
PRESCRIPTION,11,7,14.4
DETRIMENT,14,14,14.1
AFFECTS,14,14,14.1
NEGATIVELY,14,14,14.1
BELIEF,14,14,14.1
CLARIFY,13,12,14.0
EXPRESSING,13,12,14.0
PROMOTES,13,12,14.0
DEDICATION,13,12,14.0
SEPARATE,13,12,14.0
CLARIFICATION,13,12,14.0
ISSUING,13,12,14.0
VISUAL,13,12,14.0
FORMALLY,13,12,14.0
FILE,13,12,14.0
VIEWED,13,12,14.0
EASILY,13,12,14.0
EXPERIENCED,13,12,14.0
ASSIGNED,13,12,14.0
ULTIMATE,12,10,13.8
EXHIBIT,12,10,13.8
HAND,12,10,13.8
EXPOSED,12,10,13.8
UPHOLDING,12,10,13.8
DELEGATED,12,10,13.8
INTERPRETED,12,10,13.8
PROCESSED,12,10,13.8
BACKGROUND,12,10,13.8
MERGERS,12,10,13.8
SIMPLY,12,10,13.8
JOIN,12,10,13.8
MINIMIZING,12,10,13.8
APPROVING,12,10,13.8
ARGUMENTS,12,10,13.8
SECURED,12,10,13.8
STOP,12,10,13.8
PROMPT,12,10,13.8
INCENTIVES,12,10,13.8
IMPROVED,12,10,13.8
COMMISSIONS,12,10,13.8
PLAYS,12,10,13.8
CREDITORS,12,10,13.8
PERIODS,12,10,13.8
CAMPAIGNS,12,10,13.8
DISPLAY,12,10,13.8
QUALIFICATION,12,10,13.8
LIABILITIES,11,8,13.7
ACKNOWLEDGEMENT,11,8,13.7
MODERN,10,6,13.7
REMOVED,11,8,13.7
WORKED,10,6,13.7
EXTENDS,11,8,13.7
COMPETENTLY,10,6,13.7
EXTRAORDINARY,10,6,13.7
DISHONEST,11,8,13.7
AIMING,11,8,13.7
BEINGS,11,8,13.7
INFORMING,11,8,13.7
ES,10,6,13.7
NOTED,11,8,13.7
CANADA,11,8,13.7
GUARD,11,8,13.7
FAMILIES,11,8,13.7
UNPUBLISHED,10,6,13.7
ANTICIPATED,11,8,13.7
PENALTY,10,6,13.7
EUROPE,10,6,13.7
ASSESSING,10,6,13.7
ENHANCING,11,8,13.7
CORRECTED,11,8,13.7
SPONSORSHIP,11,8,13.7
EDITORS,10,6,13.7
ANNUALLY,11,8,13.7
DESIRABLE,10,6,13.7
FULFILLING,11,8,13.7
TRANSFERRED,11,8,13.7
MALICIOUSLY,13,13,13.5
DIRECTED,12,11,13.3
SUSPENSION,12,11,13.3
CALLS,12,11,13.3
EXHAUSTIVE,12,11,13.3
COMING,12,11,13.3
CONTRIBUTES,12,11,13.3
FORBIDDEN,12,11,13.3
ULTIMATELY,12,11,13.3
COLOUR,12,11,13.3
CONFLICTING,12,11,13.3
DEFINITION,12,11,13.3
REJECT,12,11,13.3
ASSESSED,12,11,13.3
REVEAL,12,11,13.3
EXPRESSED,12,11,13.3
EXCEPTIONAL,12,11,13.3
RELY,12,11,13.3
DILIGENT,12,11,13.3
PROFESSIONALLY,12,11,13.3
TRADITIONS,12,11,13.3
DESCRIBE,12,11,13.3
SUBSEQUENT,12,11,13.3
DANGEROUS,12,11,13.3
LOGO,12,11,13.3
RELATES,11,9,13.2
PURCHASES,11,9,13.2
PRACTICABLE,11,9,13.2
LAWFULLY,11,9,13.2
RAISES,11,9,13.2
VIGOROUSLY,11,9,13.2
LATEST,11,9,13.2
STORING,11,9,13.2
ORAL,11,9,13.2
PREVAIL,11,9,13.2
TEN,11,9,13.2
CONNECTED,11,9,13.2
LEGISLATIVE,11,9,13.2
ELIMINATING,11,9,13.2
GRANTING,11,9,13.2
FREQUENTLY,11,9,13.2
READILY,11,9,13.2
FAVOURS,11,9,13.2
PARTNERSHIPS,11,9,13.2
COMPONENTS,11,9,13.2
SUBMITTING,11,9,13.2
DONATION,11,9,13.2
INTERACTIONS,11,9,13.2
ORDINARY,11,9,13.2
TARGETS,11,9,13.2
SOLUTION,11,9,13.2
CONFIDENTIALLY,10,7,13.1
OUTSET,10,7,13.1
REQUISITE,10,7,13.1
YOUNG,10,7,13.1
MENTORING,10,7,13.1
MANUFACTURED,10,7,13.1
FASHION,10,7,13.1
LECTURES,10,7,13.1
PROPERTIES,10,7,13.1
MINOR,10,7,13.1
RETALIATORY,10,7,13.1
INTERNALLY,10,7,13.1
INCLUSION,10,7,13.1
TESTIMONY,10,7,13.1
SUGGEST,10,7,13.1
CONSTITUTION,10,7,13.1
CONCLUSION,10,7,13.1
SORT,10,7,13.1
AMENDED,10,7,13.1
UNREASONABLE,10,7,13.1
SPEECH,10,7,13.1
SPREAD,10,7,13.1
EMBARRASS,10,7,13.1
PUBLISHER,10,7,13.1
INDICATION,10,7,13.1
NECESSARILY,12,12,12.9
INDEPENDENTLY,12,12,12.9
ASSIGNMENT,12,12,12.9
EXPRESSION,12,12,12.9
PRESERVING,12,12,12.9
BELONG,12,12,12.9
RUNNING,12,12,12.9
DISCOVERIES,12,12,12.9
SCALE,11,10,12.7
POSITIVELY,11,10,12.7
SANCTIONED,11,10,12.7
FEE,11,10,12.7
TEXT,11,10,12.7
PRIDE,11,10,12.7
PRINTED,11,10,12.7
PERIODICALLY,11,10,12.7
MERITS,11,10,12.7
PERMISSIBLE,11,10,12.7
TANGIBLE,11,10,12.7
EXCLUSIVELY,11,10,12.7
CONSCIENTIOUS,11,10,12.7
OCCURRENCE,11,10,12.7
FORECASTS,11,10,12.7
INTEGRAL,11,10,12.7
INTENTIONAL,11,10,12.7
QUICKLY,11,10,12.7
UPDATE,11,10,12.7
CONSISTS,11,10,12.7
IMPAIR,11,10,12.7
SERVES,11,10,12.7
COVERS,10,8,12.5
REGULATORS,10,8,12.5
COMPROMISING,10,8,12.5
ADVISED,10,8,12.5
CONTRIBUTED,10,8,12.5
SOLE,10,8,12.5
COMBAT,10,8,12.5
SPECULATIVE,10,8,12.5
INVITED,10,8,12.5
POPULAR,10,8,12.5
JUNIOR,10,8,12.5
PRIVILEGES,10,8,12.5
CERTIFICATION,10,8,12.5
REVISED,10,8,12.5
OMISSION,10,8,12.5
MANIPULATE,10,8,12.5
DISPOSE,10,8,12.5
EXPLANATION,10,8,12.5
ENSURES,10,8,12.5
CLEAN,10,8,12.5
DISPUTES,10,8,12.5
JUSTIFICATION,10,8,12.5
BANK,10,8,12.5
ALLOCATION,10,8,12.5
FINANCING,10,8,12.5
EXERCISING,10,8,12.5
SUBCONTRACTORS,10,8,12.5
OBSTRUCT,10,8,12.5
DIVULGE,10,8,12.5
REPRESENTATION,10,8,12.5
MULTIPLE,10,8,12.5
DISSEMINATED,10,8,12.5
OBSERVATIONS,10,8,12.5
ALLOWANCES,10,8,12.5
LEADERS,10,8,12.5
UNFAIRLY,11,11,12.2
VALIDITY,11,11,12.2
EARNINGS,11,11,12.2
IMPARTIALLY,11,11,12.2
FOSTERING,11,11,12.2
CAPABILITIES,11,11,12.2
DETERMINATION,10,9,12.0
DRAW,10,9,12.0
LISTEN,10,9,12.0
VISITORS,10,9,12.0
ALTER,10,9,12.0
RETAINING,10,9,12.0
CONSTRUCTION,10,9,12.0
CONTINUES,10,9,12.0
DEFEND,10,9,12.0
ADDITIONALLY,10,9,12.0
BEHAVE,10,9,12.0
SINGLE,10,9,12.0
OCCASIONALLY,10,9,12.0
NARCOTICS,10,9,12.0
FALSIFY,10,9,12.0
VERIFICATION,10,9,12.0
PENDING,10,9,12.0
DISCRIMINATE,10,9,12.0
EASY,10,9,12.0
CRUCIAL,10,9,12.0
PROSPECTS,10,9,12.0
ORIENTED,10,9,12.0
DECLARED,10,9,12.0
CORRESPONDENCE,10,9,12.0
DELEGATION,10,9,12.0
CONSTRUCTIVELY,10,9,12.0
CREDIBILITY,10,9,12.0
DISCIPLINES,10,9,12.0
AMENDMENTS,10,9,12.0
SUSPICIONS,10,9,12.0
AWARDS,10,9,12.0
VIRUSES,10,9,12.0
HAZARDS,10,10,11.5
DRAWING,10,10,11.5
TRANSMITTED,10,10,11.5
EXERCISED,10,10,11.5
KINDS,10,10,11.5
OBSERVING,10,10,11.5
EXECUTE,10,10,11.5
IMPRESSION,10,10,11.5
HEARD,10,10,11.5
OCCURRED,10,10,11.5
FREELY,10,10,11.5
ENFORCE,10,10,11.5
CAREERS,10,10,11.5
FALL,10,10,11.5
